,lat,lon,type,subtype
0,42.538282,-8.8700746,tourism,camp_site
1,42.365833,-8.118611,tourism,camp_site
2,43.349167,-8.335556,tourism,camp_site
3,42.0619418,-8.8888841,tourism,camp_site
4,43.3097905,-8.2443221,tourism,camp_site
5,42.6583457,-8.8118428,tourism,chalet
6,42.3169715,-7.8683889,tourism,hotel
7,43.490661,-8.233209,tourism,hotel
8,43.3817756,-8.3958051,tourism,viewpoint
9,43.3736924,-8.3941859,tourism,hostel
10,43.3861497,-8.4064486,tourism,information
11,43.3845901,-8.40243,tourism,information
12,42.4312777,-8.7784622,tourism,attraction
13,42.4299093,-8.7754411,tourism,attraction
14,42.4304668,-8.7757586,tourism,attraction
15,42.399177,-8.808521,tourism,attraction
16,43.4077205,-8.1719691,tourism,information
17,43.4269966,-8.1283887,tourism,information
18,43.3915925,-8.1319965,tourism,hotel
19,42.3984878,-8.8066859,tourism,attraction
20,42.4286723,-8.7637077,tourism,wine_cellar
21,42.4298428,-8.7754417,tourism,picnic_site
22,42.432776,-8.7805314,tourism,picnic_site
23,42.3983982,-8.7880692,tourism,hotel
24,42.8923227,-8.5369749,tourism,information
25,42.8892272,-8.5024324,tourism,hotel
26,43.0120104,-7.5563243,tourism,artwork
27,42.2270613,-8.7293373,tourism,artwork
28,43.5583206,-8.1422252,tourism,attraction
29,43.5618824,-8.1329934,tourism,theme_park
30,43.5208466,-8.1103362,tourism,picnic_site
31,43.5211323,-8.1104981,tourism,camp_site
32,43.3609365,-8.4121647,tourism,picnic_site
33,43.3607587,-8.4125699,tourism,picnic_site
34,43.3696349,-8.4080079,tourism,viewpoint
35,43.4785974,-8.1323762,tourism,viewpoint
36,43.3469601,-8.0698403,tourism,theme_park
37,42.7572989,-8.2730287,tourism,viewpoint
38,43.7652967,-7.8658371,tourism,viewpoint
39,43.7529769,-7.8826089,tourism,viewpoint
40,43.751513,-7.8859985,tourism,viewpoint
41,43.7395655,-7.9177232,tourism,viewpoint
42,43.723624,-7.945814,tourism,viewpoint
43,42.7899547,-8.8960158,tourism,viewpoint
44,42.7904582,-8.8983673,tourism,viewpoint
45,43.4809706,-8.2407052,tourism,attraction
46,43.4806626,-8.2396208,tourism,attraction
47,42.1137226,-8.8373955,tourism,hotel
48,42.1158713,-8.8374344,tourism,artwork
49,42.7762785,-8.8863016,tourism,viewpoint
50,43.6634884,-7.5793744,tourism,viewpoint
51,43.6635317,-7.5780791,tourism,picnic_site
52,43.0327597,-8.8073406,tourism,hotel
53,42.2192339,-8.7455165,tourism,hotel
54,42.4743884,-7.2775635,tourism,picnic_site
55,42.2150114,-8.7741706,tourism,hotel
56,42.9981846,-9.2430567,tourism,hostel
57,42.9969433,-9.2470849,tourism,picnic_site
58,42.8814147,-8.5447276,tourism,museum
59,42.7664298,-7.4508666,tourism,hostel
60,42.7558833,-7.2407986,tourism,hostel
61,43.1014505,-9.2155465,tourism,hostel
62,43.2789278,-8.2108773,tourism,information
63,42.9143406,-8.0158972,tourism,hotel
64,42.9144572,-8.0181083,tourism,hostel
65,42.2554446,-8.7022141,tourism,viewpoint
66,42.9368602,-9.2015731,tourism,hostel
67,42.5789496,-9.0465453,tourism,viewpoint
68,42.3917237,-8.699153,tourism,hotel
69,42.3928479,-8.7002811,tourism,museum
70,43.4872211,-7.2391039,tourism,hostel
71,43.469611,-7.3008621,tourism,hostel
72,43.367805,-7.4684491,tourism,hostel
73,43.1249108,-7.8154,tourism,picnic_site
74,43.1136375,-7.8399492,tourism,hostel
75,43.5077853,-8.2450079,tourism,viewpoint
76,42.9104291,-8.7308619,tourism,hotel
77,42.9031951,-8.7413643,tourism,hostel
78,43.0286656,-9.2806229,tourism,viewpoint
79,42.7324527,-7.3256352,tourism,hostel
80,42.7324025,-7.32508,tourism,guest_house
81,42.8223901,-9.0884586,tourism,hotel
82,42.733954,-8.6608886,tourism,hotel
83,42.7339745,-8.6612925,tourism,hotel
84,42.9385828,-8.9927671,tourism,hotel
85,42.0616687,-7.4085819,tourism,picnic_site
86,42.0986904,-7.50491,tourism,picnic_site
87,42.5698635,-8.0517763,tourism,hostel
88,42.7916312,-8.4341382,tourism,hostel
89,42.7914738,-8.4341597,tourism,picnic_site
90,42.3994315,-8.8166793,tourism,hotel
91,42.3991564,-8.8070288,tourism,hotel
92,42.3579031,-8.938947,tourism,viewpoint
93,42.3600727,-8.9458371,tourism,viewpoint
94,42.3983012,-8.9220265,tourism,viewpoint
95,42.8710003,-6.8187491,tourism,viewpoint
96,42.8788992,-8.5445384,tourism,information
97,42.8838323,-8.538922,tourism,artwork
98,41.8658036,-8.8481813,tourism,hotel
99,43.5668649,-7.2550837,tourism,information
100,43.5531623,-7.1573385,tourism,information
101,43.4221326,-8.0581968,tourism,information
102,43.4066075,-8.0410187,tourism,information
103,43.4027024,-8.050655,tourism,information
104,43.4149055,-8.0644582,tourism,information
105,43.4186918,-8.0673184,tourism,information
106,43.4052217,-8.0484076,tourism,information
107,43.351887,-8.0032454,tourism,information
108,43.3524215,-8.0040877,tourism,information
109,43.3525027,-7.992675,tourism,information
110,43.3553138,-7.9902511,tourism,information
111,43.303287,-7.9505972,tourism,information
112,43.554542,-7.1646373,tourism,viewpoint
113,43.5550329,-7.1630548,tourism,viewpoint
