,lat,lon,type,subtype
0,43.5306866,-5.7290671,railway,level_crossing
1,43.5554436,-5.9222466,place,town
2,43.5453081,-6.6002968,tourism,camp_site
3,43.54908,-5.6630408,tourism,artwork
4,43.5352895,-5.6977884,railway,stop
5,43.4742465,-5.7999775,railway,halt
6,43.5380951,-5.7199133,railway,switch
7,43.5310985,-5.7067193,railway,halt
8,43.5285399,-5.6948056,railway,station
9,43.5417855,-5.7222994,railway,station
10,43.5418656,-5.7243392,railway,switch
11,43.3914146,-5.6608367,place,town
12,43.5454434,-5.6611666,tourism,museum
13,43.542204,-5.6767112,tourism,aquarium
14,43.5408016,-5.7208217,railway,switch
15,43.3887981,-5.6653393,railway,switch
16,43.3865124,-5.6640312,railway,switch
17,43.3884787,-5.6651931,railway,switch
18,43.3869197,-5.6643035,railway,switch
19,43.3880005,-5.6648461,railway,station
20,43.4027677,-5.810479,place,village
21,43.4813318,-5.4334618,place,town
22,43.5103206,-5.7250468,railway,level_crossing
23,43.5074576,-5.7263894,railway,station
24,43.4865282,-5.7195996,railway,station
25,43.4838072,-5.7184748,railway,switch
26,43.4617129,-5.0587479,place,town
27,43.54539,-5.4002008,place,hamlet
28,43.3805115,-5.5826749,railway,station
29,43.4851194,-5.2706728,place,village
30,43.5140728,-5.2715325,place,village
31,43.4626201,-5.1870052,place,village
32,43.562876,-5.7019618,railway,level_crossing
33,43.4388317,-5.1925168,tourism,viewpoint
34,43.4211205,-4.7530835,place,town
35,43.3584401,-5.6584167,railway,halt
36,43.4659462,-5.7259596,railway,halt
37,43.448053,-5.717317,railway,halt
38,43.3939806,-5.703425,railway,station
39,43.3479981,-5.363764,place,village
40,43.5903232,-5.9323085,railway,buffer_stop
41,43.5595588,-5.9215385,railway,level_crossing
42,43.5370422,-5.8853569,railway,station
43,43.5258367,-5.8718777,railway,switch
44,43.5234407,-5.8699476,railway,station
45,43.5072655,-5.8693639,railway,station
46,43.4760582,-5.8614792,railway,station
47,43.5137082,-5.5087302,place,hamlet
48,43.5900265,-5.7641766,place,town
49,43.3755098,-4.5192832,place,hamlet
50,43.3817536,-5.7298196,railway,station
51,43.3869366,-5.6752615,railway,halt
52,43.3793217,-5.5658583,railway,switch
53,43.3688007,-5.5252464,railway,halt
54,43.3611921,-5.5089696,railway,station
55,43.3600593,-5.5081258,railway,switch
56,43.3556243,-5.4785332,railway,halt
57,43.3561454,-5.4511084,railway,station
58,43.3553499,-5.4345545,railway,station
59,43.3598758,-5.3841567,railway,halt
60,43.3518565,-5.3691815,railway,station
61,43.3750267,-5.5462411,railway,halt
62,43.3712688,-5.6936227,railway,halt
63,43.3498104,-5.6319301,railway,switch
64,43.3108212,-5.6793842,railway,level_crossing
65,43.2782989,-5.6153125,railway,station
66,43.2755253,-5.6036454,railway,switch
67,43.2598538,-5.5750031,railway,halt
68,43.276024,-5.6048833,railway,station
69,43.3391179,-5.6309611,railway,switch
70,43.5417808,-5.7231448,railway,station
71,43.5483962,-5.7283342,railway,switch
72,43.5550533,-5.723508,railway,station
73,43.5688834,-5.8252567,railway,halt
74,43.5554487,-5.8448491,railway,level_crossing
75,43.5523163,-5.8653784,railway,halt
76,43.5542804,-5.8965582,railway,halt
77,43.5536635,-5.9156899,railway,switch
78,43.5552337,-5.9181358,railway,switch
79,43.5595901,-5.921452,railway,level_crossing
80,43.5631668,-5.9234351,railway,switch
