,lat,lon,type,subtype
0,41.8757598,-8.8388375,place,town
1,42.1130412,-8.2593422,place,town
2,41.9403912,-8.7436068,place,town
3,42.0787023,-8.4813901,place,town
4,42.0270455,-8.6428831,place,town
5,42.538282,-8.8700746,tourism,camp_site
6,42.365833,-8.118611,tourism,camp_site
7,43.349167,-8.335556,tourism,camp_site
8,42.0619418,-8.8888841,tourism,camp_site
9,43.3097905,-8.2443221,tourism,camp_site
10,43.3526825,-8.4098331,railway,station
11,43.3177762,-8.3681368,railway,station
12,43.2708376,-8.2259993,railway,station
13,43.1272797,-8.1432221,railway,station
14,43.0153618,-7.5523386,railway,stop
15,42.7841956,-7.4190137,railway,stop
16,42.3436415,-7.8674242,place,city
17,42.328732,-8.787905,ferry,yes
18,42.6488711,-8.8173676,place,town
19,42.6583457,-8.8118428,tourism,chalet
20,43.5387036,-7.0217691,place,village
21,43.5276581,-7.0300508,place,village
22,43.4643275,-7.0498586,place,village
23,42.5947625,-8.7669178,place,town
24,42.51439,-8.8138414,place,town
25,42.4317048,-8.7051951,place,town
26,42.8774735,-8.5339767,agricultural,yes
27,42.2376602,-8.7247205,place,city
28,42.2842221,-8.6085992,place,town
29,43.4846862,-8.233162,place,city
30,43.4851541,-8.248395,railway,level_crossing
31,43.5361589,-7.0436775,place,town
32,43.4912975,-7.0358795,railway,halt
33,43.4730167,-7.0504431,railway,halt
34,43.4794576,-7.0570814,railway,station
35,43.5359749,-7.0557899,railway,station
36,42.7976959,-8.8890303,shop,supermarket
37,42.7850763,-8.8877375,place,town
38,42.7583678,-8.9483626,place,suburb
39,42.7771622,-8.9284344,place,hamlet
40,43.5010981,-8.1923091,place,town
41,43.473674,-8.1625614,place,town
42,43.5000016,-8.1585283,place,village
43,43.4072585,-8.1718823,place,town
44,42.7644829,-8.9412497,place,hamlet
45,42.726023,-9.0049123,place,town
46,43.6602391,-8.0546995,place,town
47,43.6843141,-7.8543679,place,town
48,43.7726007,-7.6696466,place,hamlet
49,43.7377861,-7.7009053,place,neighbourhood
