,lat,lon,type,subtype
0,18.4928344,95.5071615,place,town
1,17.654413,95.786285,place,town
2,16.5255057,97.6084052,place,town
3,17.95,96.733333,place,town
4,16.705278,96.001667,place,town
5,16.2558972,97.7292529,place,town
6,25.3833313,97.3999925,place,city
7,18.483333,96.433333,place,town
8,16.716667,95.933333,place,town
9,20.001873,95.546135,place,town
10,23.633333,94.416667,place,town
11,17.0455708,95.6363209,place,town
12,16.383333,95.266667,place,town
13,22.9139433,93.6790091,place,town
14,20.1491458,94.9213518,place,city
15,22.0333331,96.466667,place,city
16,19.674167,97.2094441,place,city
17,16.7967129,96.1609916,place,city
18,16.6044622,95.1777138,place,town
19,17.2932802,96.5786126,place,town
20,16.9136941,97.3689718,place,city
21,18.816667,95.216667,place,city
22,20.4318725,96.1399956,place,town
23,16.783333,94.733333,place,city
24,22.922696,96.505135,place,city
25,22.933333,97.75,place,city
26,22.5666618,95.6999989,place,city
27,21.8774215,95.9839956,place,city
28,21.3343349,95.0944271,place,town
29,16.733333,95.65,place,town
30,14.0797232,98.1990191,place,city
31,16.7648126,96.2509473,place,town
32,24.266667,97.233333,place,town
33,19.738964,96.2088371,place,town
34,17.336667,96.479722,place,city
35,21.4587531,95.3924129,place,city
36,20.15,92.9,place,city
37,18.9342565,96.4326678,place,city
38,16.7608437,96.5237188,place,town
39,18.283333,95.316667,place,town
40,20.4608216,94.872961,place,town
41,21.9812746,96.082375,place,city
42,16.4433836,95.7256825,place,town
43,22.1182175,95.1324747,place,city
44,17.783333,95.75,place,town
45,16.0793199,97.5705296,place,town
46,20.8814233,95.8619463,place,city
47,16.2905973,95.3968502,place,town
48,17.3091636,97.0096713,place,town
49,16.905556,96.563056,place,town
50,19.322687,95.1794744,place,town
51,19.366667,95.216667,place,town
52,20.8947519,94.8198211,place,town
53,17.6457472,95.4609517,place,city
54,16.2890879,95.6800743,place,town
55,20.1837903,94.8767199,place,town
56,12.4319552,98.5955711,place,city
57,16.7709196,96.1826222,railway,crossing
58,16.8188535,96.179931,railway,crossing
59,16.864249,96.1586943,railway,stop
60,16.8814267,96.1547907,railway,level_crossing
61,16.7810746,96.1619433,railway,station
62,20.4375602,99.8856121,place,town
63,20.3440914,100.0838118,tourism,viewpoint
64,24.0200662,97.8554177,place,city
65,22.1038575,92.8481045,place,village
66,22.9261,93.1034,place,village
67,23.6973611,93.3806617,place,village
68,23.9482681,93.3014668,place,village
69,23.9889166,93.5534607,place,village
70,20.4490789,99.8842143,place,city
71,21.1999599,94.9071683,place,city
72,21.1708105,94.8595191,place,locality
73,15.7698492,94.985186,place,village
74,15.7807687,94.9784436,place,village
75,15.8655758,95.1984319,place,village
76,15.8528573,95.2116916,place,village
77,15.8938678,95.2231226,place,village
78,17.3145946,95.9588329,place,town
79,16.1448288,94.758597,place,town
80,16.0693179,94.6109269,place,village
81,15.9305379,94.6091256,place,village
82,15.9486946,94.5974526,place,village
83,15.9665197,94.5577988,place,village
84,15.9325187,94.8065361,place,village
85,15.9227795,94.7595009,place,village
86,16.8966136,96.1515866,railway,level_crossing
87,16.9342939,96.1117059,railway,level_crossing
88,16.5453441,94.693045,place,town
89,16.6038359,94.9289552,place,town
90,16.4359635,95.1318664,place,town
91,16.6449409,94.7352437,place,village
92,16.4007259,94.6527595,place,village
93,16.2245174,94.935503,place,town
94,26.01377,98.62816,tourism,museum
95,26.0131289,98.6255549,tourism,hotel
96,26.133333,98.6,place,village
97,26.0759514,98.6016094,place,village
98,16.7963323,96.1426506,tourism,attraction
99,17.1024363,96.0483731,railway,level_crossing
100,17.1023434,96.0482671,railway,level_crossing
101,16.6774876,96.1441145,place,village
102,16.757471,96.1525092,place,town
103,16.7148078,96.1076849,place,village
104,16.7195028,96.1208258,place,village
105,16.7218014,96.1314706,place,village
106,16.9831085,95.466618,place,town
107,16.7175622,94.8834877,place,village
108,16.9198558,96.3324448,place,village
109,16.8583797,96.2134417,railway,level_crossing
110,16.7746637,96.1490011,shop,jewelry
111,16.7864052,96.1348347,railway,stop
112,16.7841193,96.143586,railway,stop
113,20.9009263,100.6441467,place,village
114,9.9781142,98.5520893,place,town
115,19.5861353,97.9457558,place,village
116,17.9683358,97.7398166,tourism,information
117,17.9785632,97.7400518,place,village
118,19.7540045,96.1344976,place,city
119,14.0333854,93.2943335,place,locality
120,20.4428358,99.8776502,tourism,viewpoint
121,20.3645622,100.0772924,tourism,hotel
122,20.35485,100.0805563,tourism,hotel
123,20.3536224,100.0812531,tourism,viewpoint
124,20.7685691,92.3298978,place,village
125,21.1166538,92.1955149,place,union
126,16.6926434,98.5191219,tourism,motel
127,16.8167043,96.1262444,railway,stop
128,16.8337627,96.1220146,railway,level_crossing
129,16.802708,96.1816106,railway,stop
130,16.8846515,96.2322219,railway,level_crossing
131,16.7989622,96.1808863,railway,crossing
132,16.801016,96.1813149,railway,crossing
133,16.8026811,96.1817221,railway,stop
134,16.9128853,96.2201463,railway,stop
135,16.9061724,96.2240007,railway,level_crossing
136,16.8612532,96.2139522,railway,level_crossing
137,16.6782923,96.2485674,railway,level_crossing
138,16.7716242,96.256724,railway,level_crossing
139,16.794548,96.1619433,tourism,hotel
140,16.815944,96.1522157,tourism,hotel
141,16.7926254,96.1414868,tourism,hotel
142,16.8293859,96.1551101,tourism,hotel
143,16.8395969,96.1711215,railway,level_crossing
144,16.8251886,96.1308134,tourism,hotel
145,16.8061396,96.1512582,place,suburb
146,16.8061661,96.1321384,place,suburb
147,16.8546964,96.1163039,railway,level_crossing
148,17.1750495,95.9999652,place,country
149,16.7976803,96.1847337,railway,crossing
150,23.7738508,98.8255333,place,town
151,20.658783,96.9317297,place,town
152,23.765206,98.8248488,place,city
153,20.4438955,99.8723746,tourism,guest_house
154,19.9400929,99.0414759,tourism,viewpoint
155,19.7403718,98.9632999,place,village
156,21.8048978,96.05931,railway,level_crossing
157,21.8086701,95.9735381,railway,level_crossing
158,21.805656,95.9443301,railway,level_crossing
159,21.8031139,95.9338416,railway,level_crossing
160,21.816288,96.0604298,railway,level_crossing
161,21.8280808,96.0620289,railway,level_crossing
162,21.8410481,96.0651062,railway,level_crossing
163,21.9237935,96.110272,railway,level_crossing
164,21.930729,96.0869457,railway,level_crossing
165,21.8543638,96.0717963,railway,level_crossing
166,21.8929946,96.07551,railway,level_crossing
167,21.8653444,96.0739344,railway,level_crossing
168,21.9095202,96.0546703,railway,level_crossing
169,21.9186038,96.0651862,railway,level_crossing
170,21.9244234,96.0748502,railway,level_crossing
171,21.9303647,96.0783198,railway,level_crossing
172,21.9319615,96.0808792,railway,level_crossing
173,21.9517027,96.0829257,railway,level_crossing
174,21.9614802,96.0842673,railway,level_crossing
175,21.9661258,96.084601,railway,level_crossing
176,21.8999374,96.0458949,railway,level_crossing
177,21.8842615,96.0176826,railway,level_crossing
178,21.9116736,95.9689779,railway,level_crossing
179,21.9025101,95.9724035,railway,level_crossing
180,21.8962111,95.9749519,railway,level_crossing
181,21.8915616,95.976796,railway,level_crossing
182,21.9355573,95.9279498,railway,level_crossing
183,21.9339251,95.946721,railway,level_crossing
